There is 17 cells and 15 mutations.
ROOT:11
step:120,	mode:swap_nodes,	new_error:2.20,	last_error:1.90,	acc_prob:0.000
step:121,	mode:swap_nodes,	new_error:4.40,	last_error:1.90,	acc_prob:0.000
step:122,	mode:swap_nodes,	new_error:1.90,	last_error:1.90,	acc_prob:1.000
step:123,	mode:swap_nodes,	new_error:3.30,	last_error:1.90,	acc_prob:0.000
step:124,	mode:swap_nodes,	new_error:2.80,	last_error:1.90,	acc_prob:0.000
step:125,	mode:swap_nodes,	new_error:4.10,	last_error:1.90,	acc_prob:0.000
step:126,	mode:swap_nodes,	new_error:4.30,	last_error:1.90,	acc_prob:0.000
step:127,	mode:swap_nodes,	new_error:2.10,	last_error:1.90,	acc_prob:0.000
step:128,	mode:prune_reattach,	new_error:4.30,	last_error:1.90,	acc_prob:0.000
step:129,	mode:swap_subtrees,	new_error:5.10,	last_error:1.90,	acc_prob:0.000
step:130,	mode:prune_reattach,	new_error:2.00,	last_error:1.90,	acc_prob:0.046
step:131,	mode:swap_subtrees,	new_error:1.70,	last_error:1.70,	acc_prob:1.000
step:132,	mode:swap_subtrees,	new_error:5.10,	last_error:1.70,	acc_prob:0.000
step:133,	mode:swap_subtrees,	new_error:2.70,	last_error:1.70,	acc_prob:0.000
step:134,	mode:swap_subtrees,	new_error:2.70,	last_error:1.70,	acc_prob:0.000
step:135,	mode:swap_subtrees,	new_error:3.90,	last_error:1.70,	acc_prob:0.000
step:136,	mode:swap_nodes,	new_error:2.50,	last_error:1.70,	acc_prob:0.000
step:137,	mode:swap_nodes,	new_error:1.70,	last_error:1.70,	acc_prob:1.000
step:138,	mode:swap_nodes,	new_error:1.70,	last_error:1.70,	acc_prob:1.000
step:139,	mode:swap_nodes,	new_error:1.90,	last_error:1.70,	acc_prob:0.000
step:140,	mode:swap_nodes,	new_error:1.70,	last_error:1.70,	acc_prob:1.000
step:141,	mode:swap_nodes,	new_error:2.60,	last_error:1.70,	acc_prob:0.000
step:142,	mode:swap_nodes,	new_error:2.00,	last_error:1.70,	acc_prob:0.000
step:143,	mode:swap_nodes,	new_error:3.80,	last_error:1.70,	acc_prob:0.000
step:144,	mode:prune_reattach,	new_error:2.70,	last_error:1.70,	acc_prob:0.000
step:145,	mode:swap_subtrees,	new_error:5.00,	last_error:1.70,	acc_prob:0.000
step:146,	mode:swap_subtrees,	new_error:2.90,	last_error:1.70,	acc_prob:0.000
step:147,	mode:swap_subtrees,	new_error:5.10,	last_error:1.70,	acc_prob:0.000
step:148,	mode:prune_reattach,	new_error:1.80,	last_error:1.70,	acc_prob:0.032
step:149,	mode:prune_reattach,	new_error:4.40,	last_error:1.70,	acc_prob:0.000
step:150,	mode:swap_subtrees,	new_error:5.00,	last_error:1.70,	acc_prob:0.000
step:151,	mode:prune_reattach,	new_error:1.70,	last_error:1.70,	acc_prob:1.000
step:152,	mode:swap_nodes,	new_error:1.60,	last_error:1.60,	acc_prob:1.000
step:153,	mode:swap_nodes,	new_error:2.40,	last_error:1.60,	acc_prob:0.000
step:154,	mode:swap_nodes,	new_error:2.80,	last_error:1.60,	acc_prob:0.000
step:155,	mode:swap_nodes,	new_error:1.80,	last_error:1.60,	acc_prob:0.000
step:156,	mode:swap_nodes,	new_error:1.80,	last_error:1.60,	acc_prob:0.000
step:157,	mode:swap_nodes,	new_error:2.40,	last_error:1.60,	acc_prob:0.000
step:158,	mode:swap_nodes,	new_error:1.60,	last_error:1.60,	acc_prob:1.000
step:159,	mode:swap_nodes,	new_error:1.80,	last_error:1.60,	acc_prob:0.000
step:160,	mode:swap_subtrees,	new_error:4.00,	last_error:1.60,	acc_prob:0.000
step:161,	mode:prune_reattach,	new_error:5.50,	last_error:1.60,	acc_prob:0.000
step:162,	mode:prune_reattach,	new_error:1.60,	last_error:1.60,	acc_prob:1.000
step:163,	mode:swap_subtrees,	new_error:2.70,	last_error:1.60,	acc_prob:0.000
step:164,	mode:swap_subtrees,	new_error:5.00,	last_error:1.60,	acc_prob:0.000
step:165,	mode:prune_reattach,	new_error:3.20,	last_error:1.60,	acc_prob:0.000
step:166,	mode:prune_reattach,	new_error:1.70,	last_error:1.60,	acc_prob:0.026
step:167,	mode:prune_reattach,	new_error:4.40,	last_error:1.60,	acc_prob:0.000
step:168,	mode:swap_nodes,	new_error:4.00,	last_error:1.60,	acc_prob:0.000
step:169,	mode:swap_nodes,	new_error:3.70,	last_error:1.60,	acc_prob:0.000
step:170,	mode:swap_nodes,	new_error:2.10,	last_error:1.60,	acc_prob:0.000
step:171,	mode:swap_nodes,	new_error:1.60,	last_error:1.60,	acc_prob:1.000
step:172,	mode:swap_nodes,	new_error:2.40,	last_error:1.60,	acc_prob:0.000
step:173,	mode:swap_nodes,	new_error:4.10,	last_error:1.60,	acc_prob:0.000
step:174,	mode:swap_nodes,	new_error:1.60,	last_error:1.60,	acc_prob:1.000
step:175,	mode:swap_nodes,	new_error:1.70,	last_error:1.60,	acc_prob:0.000
step:176,	mode:swap_subtrees,	new_error:4.20,	last_error:1.60,	acc_prob:0.000
step:177,	mode:prune_reattach,	new_error:1.60,	last_error:1.60,	acc_prob:1.000
step:178,	mode:swap_subtrees,	new_error:2.50,	last_error:1.60,	acc_prob:0.000
step:179,	mode:prune_reattach,	new_error:3.10,	last_error:1.60,	acc_prob:0.000
